Дата,Кол-во комнат,Адрес,Год постройки,Этаж,Площадь (кв.м),Цена,Unnamed: 7
7.04,1-комнатная квартира,"Советский район КД РезиденцияКД Резиденция, дом №2",2026.0,"5 / 9 эт., кирпич","52,8 / 14,9 / 24,1",16 010 998 руб.303 239 руб./м²от 190 105 руб./мес.,
2.04,2-комнатная квартира,Советский район ЖК Квартетул. Артельная,2027.0,"13 / 18 эт., кирпич","66,3 / 33,9 / 18,9",11 337 300 руб.171 000 руб./м²от 134 612 руб./мес.,
14.04,3-комнатная квартира,Приокский район ЖК Швейцария Паркпросп. Гагарина,2025.0,"18 / 18 эт., блок+утеплитель","89,7 / 44,4 / 16,3",22 873 500 руб.255 000 руб./м²от 271 586 руб./мес.,
14.04,1-комнатная квартира,Приокский район ЖК Швейцария Паркпросп. Гагарина,2025.0,"10 / 18 эт., блок+утеплитель","49 / 17,7 / 14,9",10 290 000 руб.210 000 руб./м²от 122 177 руб./мес.,
2.04,2-комнатная квартира,Советский район ЖК Квартетул. Артельная,2027.0,"13 / 18 эт., кирпич","54,6 / 25,8 / 14",9 336 600 руб.171 000 руб./м²от 110 857 руб./мес.,
26.03,3-комнатная квартира,"Канавинский район 3-й микрорайон Мещерское озероул. Сергея Есенина, д. 48 Информация о доме",1988.0,"6 / 14 эт., кирпич","62 / 44,8 / 8,2",10 950 000 руб.176 613 руб./м²от 130 014 руб./мес.,
7.04,2-комнатная квартира,"Автозаводский район Соцгород 1ул. Комсомольская, 38А (литеры А А1, А2, А3, А4)",2026.0,"6 / 8 эт., блок+утеплитель","65,4 / 24,2 / 19,3",12 112 081 руб.185 200 руб./м²от 143 811 руб./мес.,
,,,,,,,
7.04,3-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"24 / 24 эт., блок+утеплитель","112,7 / 46,4 / 33",28 990 000 руб.257 232 руб./м²от 344 209 руб./мес.,
21.03,1-комнатная квартира,"Советский районул. Горловская, д. 7 Информация о доме",1961.0,"цоколь / 4 эт., кирпич","51,5 / 39 / 9,5хрущ.",3 950 000 руб.76 699 руб./м²от 46 900 руб./мес.,
9.04,3-комнатная квартира,"Нижегородский район Клубный дом VEREN PLACE ОДЕССКАЯулица Одесская, земельный участок 4",2026.0,"10 / 17 эт., блок+утеплитель","109,59 / 50,78 / 26,67",33 282 941 руб.303 704 руб./м²от 395 181 руб./мес.,
10.04,1-комнатная квартира,"Нижегородский районул. Максима Горького, д. 153 Информация о доме",1979.0,"3 / 7 эт., кирпич","39,9 / 15 / 20",9 200 000 руб.230 576 руб./м²от 109 235 руб./мес.,
7.04,1-комнатная квартира,"Автозаводский район ЖК СмородинаЖК ""Смородина"", дом 3",2027.0,"2 / 4 эт., кирпич","43,6 / 15,2 / 14,6",6 690 000 руб.153 440 руб./м²от 79 433 руб./мес.,
9.04,3-комнатная квартира,"Автозаводский районул. Толбухина, д. 16 Информация о доме",1949.0,"1 / 2 эт., шлакоблок","53,4 / 34,4 / 6,6народн. стр.",5 300 000 руб.99 251 руб./м²от 62 929 руб./мес.,
7.04,2-комнатная квартира,"Автозаводский район Соцгород 1ул. Комсомольская, 38А (литеры А А1, А2, А3, А4)",2026.0,"6 / 8 эт., блок+утеплитель","69,3 / 29,1 / 18,5",12 829 834 руб.185 135 руб./м²от 152 333 руб./мес.,
,,,,,,,
7.04,4-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"23 / 24 эт., блок+утеплитель","133,9 / 70,8 / 26,2",39 800 000 руб.297 237 руб./м²от 472 561 руб./мес.,
7.04,Квартира-студия,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"9 / 24 эт., блок+утеплитель","19,6 / 9,1",7 490 000 руб.382 143 руб./м²от 88 932 руб./мес.,
7.04,1-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"23 / 24 эт., блок+утеплитель","38,1 / 10,6 / 14,9",11 290 000 руб.296 325 руб./м²от 134 050 руб./мес.,
7.04,2-комнатная квартира,"Автозаводский район ЖК СмородинаЖК ""Смородина"", дом 3",2027.0,"2 / 4 эт., кирпич","58,8 / 29,5 / 11,3",8 690 000 руб.147 789 руб./м²от 103 180 руб./мес.,
7.04,1-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"8 / 24 эт., блок+утеплитель","38,1 / 10,6 / 14,9",9 890 000 руб.259 580 руб./м²от 117 428 руб./мес.,
7.04,1-комнатная квартира,"Автозаводский район ЖК СмородинаЖК ""Смородина"", дом 3",2027.0,"4 / 4 эт., кирпич","36,4 / 11,3 / 14,5",5 890 000 руб.161 813 руб./м²от 69 934 руб./мес.,
7.04,1-комнатная квартира,"Автозаводский район ЖК СмородинаЖК ""Смородина"", дом 3",2027.0,"4 / 4 эт., кирпич","37,3 / 14,2 / 12,2",6 190 000 руб.165 952 руб./м²от 73 496 руб./мес.,
,,,,,,,
7.04,2-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"6 / 24 эт., блок+утеплитель","67,8 / 29,4 / 17,5",17 490 000 руб.257 965 руб./м²от 207 665 руб./мес.,
7.04,2-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"4 / 24 эт., блок+утеплитель","70,5 / 34,2 / 18,2",16 790 000 руб.238 156 руб./м²от 199 354 руб./мес.,
7.04,2-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"5 / 24 эт., блок+утеплитель","70,5 / 34,2 / 18,2",17 090 000 руб.242 411 руб./м²от 202 916 руб./мес.,
7.04,3-комнатная квартира,"Советский район КД РезиденцияКД Резиденция, дом №2",2026.0,"7 / 9 эт., кирпич","72,7 / 39,1 / 13",21 933 070 руб.301 693 руб./м²от 260 420 руб./мес.,
14.04,2-комнатная квартира,"Канавинский район 2-й микрорайон Мещерское озероул. Сергея Есенина, д. 28 Информация о доме",1978.0,"1 / 9 эт., панель","49,8 / 30 / 7,2",8 900 000 руб.178 715 руб./м²от 105 673 руб./мес.,
7.04,3-комнатная квартира,"Советский район КД РезиденцияКД Резиденция, дом №2",2026.0,"5 / 9 эт., кирпич","87,2 / 40,4 / 19,6",25 541 763 руб.292 910 руб./м²от 303 267 руб./мес.,
7.04,Квартира-студия,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"21 / 24 эт., блок+утеплитель","41,4 / 13 / 16",11 290 000 руб.272 705 руб./м²от 134 050 руб./мес.,
,,,,,,,
9.04,3-комнатная квартира,"Московский район ЖК Бурнаковскийул. Бурнаковская, д. 103 Информация о доме",2018.0,"6 / 10 эт., панель","45,7 / 31,7 / 8,4",7 350 000 руб.160 832 руб./м²от 87 269 руб./мес.,
27.03,2-комнатная квартира,"Автозаводский районул. Обнорского, д. 1 Информация о доме",1961.0,"2 / 3 эт., шлакоблок",39 / 28 / 5народн. стр.,3 700 000 руб.94 872 руб./м²от 43 932 руб./мес.,
12.04,2-комнатная квартира,"Автозаводский районул. Юлиуса Фучика, д. 10 к1 Информация о доме",1989.0,"7 / 9 эт., панель","50 / 34,3 / 9",6 899 000 руб.137 980 руб./м²от 81 914 руб./мес.,
21.03,Квартира-студия,"Канавинский район 1-й микрорайон Мещерское озероул. Сергея Акимова, д. 2 Информация о доме",1977.0,"1 / 9 эт., панель",19 / 11 / 1,3 200 000 руб.168 421 руб./м²от 37 995 руб./мес.,
14.04,4-комнатная квартира,"Московский районул. Красных Зорь, д. 22 Информация о доме",,"7 / 16 эт., кирпич","127 / 64,5 / 11",12 900 000 руб.101 575 руб./м²от 153 167 руб./мес.,
7.04,1-комнатная квартира,"Автозаводский район Соцгород 1ул. Комсомольская, 38А (литеры А А1, А2, А3, А4)",2026.0,"5 / 8 эт., блок+утеплитель","46,6 / 13,3 / 21,3",8 695 983 руб.186 609 руб./м²от 103 251 руб./мес.,
2.04,1-комнатная квартира,Советский район ЖК Квартетул. Артельная,2027.0,"9 / 18 эт., кирпич","44,2 / 13,4 / 16,6",7 779 200 руб.176 000 руб./м²от 92 365 руб./мес.,
7.04,2-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"5 / 24 эт., блок+утеплитель","71,1 / 34,1 / 18,4",16 990 000 руб.238 959 руб./м²от 201 729 руб./мес.,
29.03,2-комнатная квартира,"Советский район микрорайон Высоковоул. Бориса Панина, д. 9 Информация о доме",1995.0,"1 / 10 эт., кирпич","66,9 / 23 / 27,5",12 290 000 руб.183 707 руб./м²от 145 924 руб./мес.,
,,,,,,,
7.04,2-комнатная квартира,"Автозаводский район ЖК СмородинаЖК ""Смородина"", дом 3",2027.0,"4 / 4 эт., кирпич","58,6 / 29,5 / 11,3",8 790 000 руб.150 000 руб./м²от 104 367 руб./мес.,
2.04,1-комнатная квартира,Советский район ЖК Квартетул. Артельная,2027.0,"13 / 18 эт., кирпич","39,3 / 14,2 / 14,5",7 074 000 руб.180 000 руб./м²от 83 992 руб./мес.,
7.04,1-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"2 / 24 эт., блок+утеплитель","39,9 / 10,7 / 19,1",9 690 000 руб.242 857 руб./м²от 115 053 руб./мес.,
7.04,3-комнатная квартира,"Автозаводский район Соцгород 1ул. Комсомольская, 38А (литеры А А1, А2, А3, А4)",2026.0,"5 / 8 эт., блок+утеплитель","74,2 / 34,5 / 18,5",13 585 293 руб.183 090 руб./м²от 161 303 руб./мес.,
7.04,1-комнатная квартира,"Автозаводский район Соцгород 1ул. Комсомольская, 38А (литеры А А1, А2, А3, А4)",2026.0,"5 / 8 эт., блок+утеплитель","46,1 / 13,3 / 21,5",8 602 704 руб.186 610 руб./м²от 102 143 руб./мес.,
14.04,2-комнатная квартира,"Автозаводский районул. Волкова, д. 8А Информация о доме",1960.0,"2 / 3 эт., шлакоблок","35,9 / 22,9 / 4,5народн. стр.",3 300 000 руб.91 922 руб./м²от 39 182 руб./мес.,
7.04,2-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"3 / 24 эт., блок+утеплитель","71,1 / 34,1 / 18,4",16 790 000 руб.236 146 руб./м²от 199 354 руб./мес.,
,,,,,,,
11.04,1-комнатная квартира,"Московский районул. Мечникова, д. 79 Информация о доме",1981.0,"8 / 9 эт., кирпич","21,2 / 11,6 / 4,7малогабар.",3 300 000 руб.155 660 руб./м²от 39 182 руб./мес.,
7.04,2-комнатная квартира,"Автозаводский район Соцгород 1ул. Комсомольская, 38А (литеры А А1, А2, А3, А4)",2026.0,"5 / 8 эт., блок+утеплитель","57,8 / 26,1 / 19,1",10 703 486 руб.185 181 руб./м²от 127 087 руб./мес.,
2.04,1-комнатная квартира,Советский район ЖК Квартетул. Артельная,2027.0,"13 / 18 эт., кирпич","42,5 / 12,7 / 15,9",7 650 000 руб.180 000 руб./м²от 90 831 руб./мес.,
1.04,2-комнатная квартира,"Автозаводский район ЖД по ул. Двороваяул. Дворовая, д. 30 Информация о доме",2016.0,"2 / 10 эт., кирпич","64,6 / 33 / 13",12 600 000 руб.195 046 руб./м²от 149 605 руб./мес.,
7.04,1-комнатная квартира,"Автозаводский район Соцгород 1ул. Комсомольская, 38А (литеры А А1, А2, А3, А4)",2026.0,"6 / 8 эт., блок+утеплитель","46,7 / 14,1 / 22,1",8 808 319 руб.188 615 руб./м²от 104 585 руб./мес.,
7.04,1-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"24 / 24 эт., блок+утеплитель","38,1 / 10,6 / 14,9",11 390 000 руб.298 950 руб./м²от 135 238 руб./мес.,
12.04,1-комнатная квартира,"Автозаводский район Жилой дом На Краснодонцевул. Краснодонцев, д. 25 Информация о доме",2023.0,"11 / 11 эт., блок+утеплитель","40,5 / 12,6 / 19,7",9 490 000 руб.234 321 руб./м²от 112 678 руб./мес.,
,,,,,,,
12.04,2-комнатная квартира,"Московский район микрорайон Бурнаковскийул. Народная, д. 36 Информация о доме",,"4 / 9 эт., панель","49,2 / 29 / 7,6",7 200 000 руб.146 341 руб./м²от 85 488 руб./мес.,
9.04,3-комнатная квартира,"Нижегородский район Клубный дом VEREN PLACE ОДЕССКАЯулица Одесская, земельный участок 4",2026.0,"9 / 17 эт., блок+утеплитель","109,59 / 50,78 / 26,67",32 655 252 руб.297 977 руб./м²от 387 728 руб./мес.,
14.04,Квартира-студия,"Канавинский район ЖК Новый Городул. Вязниковская, д. 39 Информация о доме",2023.0,"9 / 9 эт., панель",23 / 13 / 1,4 100 000 руб.178 261 руб./м²от 48 681 руб./мес.,
14.04,2-комнатная квартира,Приокский район ЖК Швейцария Паркпросп. Гагарина,2025.0,"18 / 18 эт., блок+утеплитель","65,4 / 26,3 / 17,4",16 677 000 руб.255 000 руб./м²от 198 012 руб./мес.,
14.04,2-комнатная квартира,Приокский район ЖК Швейцария Паркпросп. Гагарина,2025.0,"18 / 18 эт., блок+утеплитель","87,1 / 29,7 / 28,5",22 210 500 руб.255 000 руб./м²от 263 714 руб./мес.,
14.04,1-комнатная квартира,Приокский район ЖК Швейцария Паркпросп. Гагарина,2025.0,"18 / 18 эт., блок+утеплитель","61,9 / 10,9 / 21,9",15 784 500 руб.255 000 руб./м²от 187 415 руб./мес.,
7.04,Квартира-студия,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"5 / 24 эт., блок+утеплитель","20,4 / 13,1",8 690 000 руб.425 980 руб./м²от 103 180 руб./мес.,
,,,,,,,
7.04,1-комнатная квартира,"Автозаводский район ЖК СмородинаЖК ""Смородина"", дом 3",2027.0,"3 / 4 эт., кирпич","31,5 / 10,4 / 8,6",5 290 000 руб.167 937 руб./м²от 62 810 руб./мес.,
10.04,1-комнатная квартира,"Советский районул. Родниковая, д. 6 Информация о доме",1988.0,"3 / 9 эт., кирпич","35,7 / 19 / 8,2",7 000 000 руб.196 078 руб./м²от 83 114 руб./мес.,
7.04,4-комнатная квартира,Канавинский район ЖК Гранд Квартал БетанкурЖК Гранд Квартал БЕТАНКУР_МКД2,2026.0,"24 / 24 эт., блок+утеплитель","133,9 / 70,8 / 26,2",39 990 000 руб.298 656 руб./м²от 474 816 руб./мес.,
7.04,1-комнатная квартира,"Автозаводский район ЖК СмородинаЖК ""Смородина"", дом 3",2027.0,"1 / 4 эт., кирпич","37,5 / 14,2 / 12,2",5 790 000 руб.154 400 руб./м²от 68 747 руб./мес.,
7.04,1-комнатная квартира,"Автозаводский район ЖК СмородинаЖК ""Смородина"", дом 3",2027.0,"3 / 4 эт., кирпич","37,3 / 14,2 / 12,2",6 190 000 руб.165 952 руб./м²от 73 496 руб./мес.,
9.04,2-комнатная квартира,"Сормовский районул. Коминтерна, д. 160 Информация о доме",1964.0,"2 / 5 эт., кирпич","44,7 / 27,2 / 6хрущ.",4 990 000 руб.111 633 руб./м²от 59 248 руб./мес.,
8.04,3-комнатная квартира,"Советский район ЖК Город Будущегоул. Ванеева, д. 225 Информация о доме",1993.0,"8 / 9 эт., панель","61,2 / 38 / 9",9 500 000 руб.155 229 руб./м²от 112 797 руб./мес.,
7.04,2-комнатная квартира,"Автозаводский район ЖК СмородинаЖК ""Смородина"", дом 3",2027.0,"2 / 4 эт., кирпич","58,8 / 29,5 / 11",8 790 000 руб.149 490 руб./м²от 104 367 руб./мес.,
3.02,5-комнатная квартира,"Нижегородский район 5-й микрорайонул. Композитора Касьянова, д. 1 Информация о доме",1995.0,"16 / 16 эт., монолитный железобетон",230 / 120 / 30,33 000 000 руб.143 478 руб./м²от 391 822 руб./мес.,
,,,,,,,
7.04,2-комнатная квартира,"Автозаводский район ЖК СмородинаЖК ""Смородина"", дом 3",2027.0,"1 / 4 эт., кирпич","56 / 29,5 / 11,3",8 490 000 руб.151 607 руб./м²от 100 805 руб./мес.,
14.04,Квартира-студия,Канавинский районул. Вязниковская,2025.0,"1 / 10 эт., монолитный железобетон","21,83 / 19,96 / 1",3 600 000 руб.164 911 руб./м²от 42 744 руб./мес.,
14.04,1-комнатная квартира,"Нижегородский район ЖК Паруспл. Сенная, д. 1 Информация о доме",2023.0,"16 / 25 эт., блок+утеплитель","63,68 / 21,84 / 12,76",15 283 200 руб.240 000 руб./м²от 181 463 руб./мес.,
14.04,3-комнатная квартира,"Московский районул. Берёзовская, д. 92 Информация о доме",1974.0,"6 / 9 эт., панель","62 / 44,4 / 7",7 700 000 руб.124 194 руб./м²от 91 425 руб./мес.,
